OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU1	2	5	4	18722	25416	18298	1	0	0	14632	17631	16587	100%|Tuber_indicum|SH216566.06FUk_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Tuberaceae;g_Tuber
OTU2	466	330	392	70	0	48	8350	10591	11229	408	237	117	75%|Sordariomycetes_sp|SH219634.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU3	6151	5595	7229	101	250	106	7086	7465	6732	3485	2043	2339	59%|Humicola_nigrescens|SH234919.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Humicola
OTU4	2633	2465	2950	136	386	179	2657	3408	3042	2054	2922	3096	67%|Fusarium_oxysporum|SH217297.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Fusarium
OTU5	6738	6201	7093	3	0	16	475	237	201	37	20	66	54%|Ascomycota_sp|SH234918.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU6	0	25	8	19	1	0	29	45	26	4280	3059	4194	96%|Myxocephala_albida|SH235575.06FUk_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Vibrisseaceae;g_Myxocephala
OTU7	1316	3110	2897	0	0	33	2584	1200	1382	78	59	38	91%|Chaetomium_sp|SH234968.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Chaetomium
OTU8	1583	1467	1832	65	186	100	770	431	381	1717	1274	1416	58%|Penicillium_sp|SH213240.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Penicillium
OTU9	1186	2741	1853	0	0	0	460	413	326	83	0	21	46%|Arnium_sp|SH195269.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Arnium
OTU10	1760	1147	1395	33	34	22	405	713	384	33	2	46	97%|Hypocreales_sp|SH219663.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreales_unidentified;g_Hypocreales_unidentified_1
OTU11	1071	867	1395	27	0	9	1020	1042	1078	156	191	143	80%|Ascomycota_sp|SH217298.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU12	2107	906	2013	1	0	0	132	70	43	0	0	0	100%|Madurella_pseudomycetomatis|SH234952.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Incertae_sedis_23;g_Madurella
OTU13	0	0	0	0	43	0	0	0	0	3665	2264	2127	54%|Trechispora_sp|SH204188.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Trechisporales;f_Hydnodontaceae;g_Trechispora
OTU14	22	12	5	1029	860	759	7	8	6	737	552	526	94%|Cordycipitaceae_sp|SH196319.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Cordycipitaceae;g_Cordycipitaceae_unidentified
OTU15	120	109	143	105	297	145	67	47	49	1307	1657	1481	80%|Trichoderma_pubescens|SH222751.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreaceae;g_Trichoderma
OTU16	670	977	794	4	0	0	666	770	522	1309	1098	855	51%|Basidiodendron_sp|SH234585.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_Incertae_sedis_28;g_Basidiodendron
OTU17	1095	879	1466	14	0	0	437	408	423	55	29	55	67%|Sordariomycetes_sp|SH237076.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU18	1066	830	1483	72	131	29	293	344	337	443	465	351	21%|Capnodiales_sp|SH238980.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Capnodiales_unidentified;g_Capnodiales_unidentified_1
